path,type,enum,minimum,maximum
"ITR.ITR1.PersonalInfo.SecondaryAdd","string","[\"Y\", \"N\"]",null,null
"ITR.ITR1.PersonalInfo.AlternateAddress.PinCode","integer","",100000,999999
"ITR.ITR1.PersonalInfo.EmployerCategory","string","[\"CGOV\", \"SGOV\", \"PSU\", \"PE\", \"PESG\", \"PEPS\", \"PEO\", \"OTH\", \"NA\"]",null,null
"ITR.ITR1.FilingStatus.ReturnFileSec","integer","[11, 12, 13, 14, 16, 17, 18, 20]",11,20
"ITR.ITR1.FilingStatus.AmtSeventhProvisio139ii","integer","",200000,99999999999999
"ITR.ITR1.FilingStatus.AmtSeventhProvisio139iii","integer","",100000,99999999999999
"ITR.ITR1.FilingStatus.clauseiv7provisio139iDtls[].clauseiv7provisio139iNature","string","[\"1\", \"2\"]",null,null
"ITR.ITR1.FilingStatus.clauseiv7provisio139iDtls[].clauseiv7provisio139iAmount","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.GrossSalary","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.Salary","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PerquisitesValue","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.ProfitsInSalary","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.AllwncExemptUs10.AllwncExemptUs10Dtls[].SalOthAmount","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.AllwncExemptUs10.TotalAllwncExemptUs10","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.NetSalary","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.DeductionUs16","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.DeductionUs16ia","integer","",0,75000
"ITR.ITR1.ITR1_IncomeDeductions.EntertainmentAlw16ii","integer","",0,5000
"ITR.ITR1.ITR1_IncomeDeductions.ProfessionalTaxUs16iii","integer","",0,5000
"ITR.ITR1.ITR1_IncomeDeductions.IncomeFromSal","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].AddressDetailWithZipCode.PinCode","integer","",100000,999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].AsseseeShareProperty","number","",0,100
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].CoOwners[].CoOwnersSNo","integer","",1,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].CoOwners[].PercentShareProperty","number","",0,100
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].TenantDetails[].TenantSNo","integer","",1,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].Rentdetails.AnnualLetableValue","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].Rentdetails.RentNotRealized","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].Rentdetails.LocalTaxes","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].Rentdetails.TotalUnrealizedAndTax","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].Rentdetails.BalanceALV","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].Rentdetails.AnnualOfPropOwned","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].Rentdetails.ThirtyPercentOfBalance","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].Rentdetails.IntOnBorwCap","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].Rentdetails.Section24B.Section24BDtls[].LoanTknFrom","string","[\"B\", \"I\"]",null,null
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].Rentdetails.Section24B.Section24BDtls[].TotalLoanAmt","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].Rentdetails.Section24B.Section24BDtls[].LoanOutstndngAmt","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].Rentdetails.Section24B.Section24BDtls[].InterestUs24B","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].Rentdetails.Section24B.TotalInterestUs24B","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].Rentdetails.TotalDeduct","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].Rentdetails.ArrearsUnrealizedRentRcvd","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.PropertyDetails[].Rentdetails.IncomeOfHP","integer","",-99999999999999,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.TotalIncomeChargeableUnHP","integer","",null,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.IncomeOthSrc","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.OthersInc.OthersIncDtlsOthSrc[].OthSrcOthAmount","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.OthersInc.OthersIncDtlsOthSrc[].DividendInc.DateRange.Upto15Of6","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.OthersInc.OthersIncDtlsOthSrc[].DividendInc.DateRange.Upto15Of9","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.OthersInc.OthersIncDtlsOthSrc[].DividendInc.DateRange.Up16Of9To15Of12","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.OthersInc.OthersIncDtlsOthSrc[].DividendInc.DateRange.Up16Of12To15Of3","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.OthersInc.OthersIncDtlsOthSrc[].DividendInc.DateRange.Up16Of3To31Of3","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.DeductionUs57iia","integer","",0,25000
"ITR.ITR1.ITR1_IncomeDeductions.GrossTotIncome","integer","",null,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.GrossTotIncomeIncLTCG112A","integer","",null,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.UsrDeductUndChapVIA.Section80C","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.UsrDeductUndChapVIA.Section80CCC","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.UsrDeductUndChapVIA.PensionContribution80CCC[].TypeofIdentifier","string","[\"PRAN\", \"OTHPRAN\"]",null,null
"ITR.ITR1.ITR1_IncomeDeductions.UsrDeductUndChapVIA.PensionContribution80CCC[].Amount","integer","",0,99999999999999
"ITR.ITR1.ITR1_IncomeDeductions.UsrDeductUndChapVIA.Section80CCDEmployeeOrSE","integer","",0,99999999999999
