Full Path,Mandatory/Optional,Data Type,Structure,Constraints,Enum Values,Description,Ref,Array Info
ITR2,Mandatory,object,Nested Object,,,,ITR2,
ITR2.CreationInfo,Mandatory,object,Nested Object,,,This element will be used by third party vendors and intermediaries to give details of their software or JSON creation.,CreationInfo,
ITR2.CreationInfo.SWVersionNo,Mandatory,object,Nested Object,maxLength=10; minLength=1; default=1.0,,, (allOf: nonEmptyString),
ITR2.CreationInfo.SWCreatedBy,Mandatory,object,Nested Object,pattern=[S][W][0-9]{8},,, (allOf: nonEmptyString),
ITR2.CreationInfo.JSONCreatedBy,Mandatory,object,Nested Object,pattern=[S][W][0-9]{8},,, (allOf: nonEmptyString),
ITR2.CreationInfo.JSONCreationDate,Mandatory,string,Scalar,pattern=([12]\d{3}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])),,Date in YYYY-MM-DD format on or after 2026-04-01,,
ITR2.CreationInfo.IntermediaryCity,Mandatory,object,Nested Object,maxLength=25; minLength=1; default=Delhi,,, (allOf: nonEmptyString),
ITR2.CreationInfo.Digest,Mandatory,object,Nested Object,pattern=-|.{44},,, (allOf: nonEmptyString),
ITR2.Form_ITR2,Mandatory,object,Nested Object,,,,Form_ITR2,
ITR2.Form_ITR2.FormName,Mandatory,object,Nested Object,pattern=ITR-2,,, (allOf: nonEmptyString),
ITR2.Form_ITR2.Description,Mandatory,object,Nested Object,maxLength=100; minLength=1,,For Individuals and HUFs not having income from profits and gains of business or profession, (allOf: nonEmptyString),
ITR2.Form_ITR2.AssessmentYear,Mandatory,object,Nested Object,pattern=2026,,, (allOf: nonEmptyString),
ITR2.Form_ITR2.SchemaVer,Mandatory,object,Nested Object,pattern=Ver1.0; maxLength=10; minLength=1,,, (allOf: nonEmptyString),
ITR2.Form_ITR2.FormVer,Mandatory,object,Nested Object,pattern=Ver1.0; maxLength=10; minLength=1,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1,Mandatory,object,Nested Object,,,General,PartA_GEN1,
ITR2.PartA_GEN1.PersonalInfo,Mandatory,object,Nested Object,,,Enter personal information,PersonalInfo,
ITR2.PartA_GEN1.PersonalInfo.AssesseeName,Mandatory,object,Nested Object,,,Assessee name with Surname mandatory,AssesseeName,
ITR2.PartA_GEN1.PersonalInfo.AssesseeName.FirstName,Optional,object,Nested Object,maxLength=25,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.AssesseeName.MiddleName,Optional,object,Nested Object,maxLength=25,,, (allOf: nonEmptyString),
